Date,Mild,SARS,Positive,UnderObs.,Recovered,Deaths,Masc.,Fem.
06-MARCO-2021,13476,476,5362,10,5277,75,2422,2940
05-MARCO-2021,13476,474,5361,10,5276,75,2422,2939
04-MARCO-2021,13463,474,5351,10,5266,75,2416,2935
03-MARCO-2021,13387,471,5340,9,5256,75,2411,2929
02-MARCO-2021,13282,471,5329,9,5245,75,2403,2926
01-MARCO-2021,13203,470,5292,9,5208,75,2385,2907
28-FEV-2021,13170,469,5275,9,5191,75,2375,2900
27-FEV-2021,13170,467,5275,9,5191,75,2375,2900
26-FEV-2021,13170,467,5274,8,5191,75,2374,2900
25-FEV-2021,13133,467,5264,8,5181,75,2369,2895
24-FEV-2021,13099,467,5255,8,5172,75,2365,2890
23-FEV-2021,12961,466,5219,19,5190,75,2342,2877
22-FEV-2021,12779,464,5175,17,5147,75,2324,2851
21-FEV-2021,12696,464,5092,17,5065,75,2282,2810
20-FEV-2021,12696,464,5092,18,5063,75,2282,2810
19-FEV-2021,12696,464,5092,20,5062,75,2282,2810
18-FEV-2021,12571,461,4950,18,4920,73,2225,2725
17-FEV-2021,12354,460,4796,20,4703,73,2154,2642
16-FEV-2021,12159,460,4717,21,4626,70,2118,2599
15-FEV-2021,11946,460,4611,22,4519,70,2077,2534
14-FEV-2021,11722,460,4568,21,4477,70,2060,2508
13_FEV_2021,11722,458,4567,20,4477,70,2060,2507
12-FEV-2021,11722,457,4567,20,4477,70,2060,2507
11-FEV-2021,11511,456,4564,20,4477,67,2058,2506
10-FEV-2021,11221,456,4430,28,4337,65,2000,2430
09-FEV-2021,11011,456,4340,29,4247,64,1966,2374
08-FEV-2021,10976,453,4272,23,4185,64,1943,2329
07_FEV_2021,10866,450,4219,21,4134,64,1926,2293
06_FEV_2021,10866,449,4219,21,4134,64,1926,2293
05_FEV_2021,10866,448,4219,21,4134,64,1926,2293
04_FEV_2021,10499,447,4150,21,4065,64,1888,2262
03-FEV-2021,10376,447,4150,29,4057,64,1888,2262
02-FEV-2021,10217,447,4075,29,3982,64,1849,2226
01_FEV_2021,10111,445,3962,29,3871,62,1807,2154
31_JAN_2021,10006,444,3941,29,3851,61,1801,2140
30_JAN_2021,10006,443,3941,29,3851,61,1801,2140
29-JAN-2021,10006,441,3941,29,3851,61,1801,2140
28_JAN_2021,9908,441,3930,29,3840,61,1796,2134
27_JAN_2021,9854,439,3929,29,3840,60,1796,2133
26-JAN-2021,9737,438,3860,28,3772,60,1769,2091
25-JAN-2021,9636,436,3763,33,3671,59,1717,2046
24_JAN_2021,8636,431,3593,10,3526,56,1645,1948
23_JAN_2021,8633,427,3590,13,3523,56,1643,1947
22-JAN-2021,8633,426,3590,13,3521,56,1643,1947
21-JAN-2021,8580,425,3566,13,3497,56,1636,1930
20-JAN-2021,8286,423,3426,145,3225,56,1575,1851
19-JAN-2021,8249,418,3385,105,3225,55,1555,1830
18-JAN-2021,8195,416,3323,54,3217,52,1529,1794
17_JAN_2021,8124,414,3269,18,3196,52,1497,1772
16_JAN_2021,8124,413,3269,18,3196,52,1497,1772
15-JAN-2021,8124,410,3264,18,3194,52,1495,1769
14-JAN-2021,8124,408,3207,17,3138,52,1495,1712
13-JAN-2021,8124,407,3150,19,3079,52,1495,1655
12-JAN-2021,8123,406,3149,20,3079,50,1494,1655
10_JAN_2021,8123,400,3038,20,2968,50,1419,1619
09_JAN_2021,8053,396,2987,23,2914,50,1396,1591
08_JAN_2021,7948,395,2987,23,2914,48,1396,1591
07_JAN_2021,7843,392,2984,23,2913,48,1393,1591
30_DEZ_2020,7633,379,2847,202,2597,48,1331,1516
28_DEZ_2020,7557,374,2782,210,2525,47,1298,1484
23_DEZ_2020,7326,364,2677,201,2430,46,1245,1432
22_DEZ_2020,7305,364,2671,195,2430,46,1243,1428
17_DEZ_2020,7071,361,2557,103,2408,46,1198,1359
16_DEZ_2020,6995,357,2529,240,2243,46,1179,1350
15_DEZ_2020,6899,357,2459,170,2243,46,1149,1310
11_DEZ_2020,6691,355,2383,94,2243,46,1119,1264
10_DEZ_2020,6670,354,2373,84,2243,46,1114,1259
09_DEZ_2020,6670,352,2373,84,2243,46,1114,1259
08_DEZ_2020,6647,352,2319,45,2228,46,1090,1229
07_DEZ_2020,6485,348,2285,109,2130,46,1069,1216
04 DEZ_2020,6479,344,2246,73,2127,46,1047,1199
03_DEZ_2020,6402,341,2220,74,2101,45,1039,1181
02_DEZ_2020,6269,341,2192,49,2098,45,1030,1162
01_DEZ_2020,6157,337,2148,48,2055,45,1011,1137
30_NOV_2020,6142,337,2139,41,2054,44,1008,1131
27_NOV_2020,6142,334,2119,21,2054,44,996,1123
26_NOV_2020,6070,332,2111,14,2053,44,992,1119
25 _NOV_2020,5978,332,2103,124,1935,44,988,1115
24_NOV_2020,5931,327,2054,76,1935,43,969,1085
23_NOV_2020,5853,325,2042,65,1935,42,962,1080
19_NOV_2020,5774,314,1991,17,1934,40,939,1052
12_NOV_2020,5469,310,1851,122,1689,40,883,968
11_NOV_2020,5440,310,1836,107,1689,40,878,958
10_NOV_2020,5414,310,1764,101,1623,40,870,894
9_NOV_2020,5305,307,1732,69,1623,40,857,875
06_NOV_2020,5258,301,1714,67,1608,39,853,861
05_NOV_2020,5202,301,1689,42,1608,39,839,850
04_NOV_2020,5091,301,1674,27,1608,39,830,844
03_NOV_2020,5053,301,1666,19,1608,39,826,840
28_OUT_2020,4995,294,1648,83,1526,39,816,832
27_OUT_2020,4918,291,1612,55,1518,39,796,816
26_OUT_2020,4858,291,1611,54,1518,39,795,816
23_OUT_2020,4839,287,1576,38,1499,39,776,800
22_OUT_2020,4801,285,1569,33,1500,36,774,795
21_OUT_2020,4774,283,1550,21,1493,36,765,785
20_OUT_2020,4733,281,1539,91,1413,36,758,781
16_OUT_2020,4663,277,1515,66,1413,36,747,768
15_OUT_2020,4573,277,1487,38,1413,36,732,755
